id,label,C,P,I,K,D,Y,F,S,N,E,V,Q,R,L
Positive_310,1,2.12,5.062,5.609,9.371,7.114,3.557,3.967,6.088,3.967,8.071,6.908,4.651,3.899,9.166
Positive_857,1,2.123,6.84,4.481,4.717,5.071,3.184,5.189,8.019,6.486,5.542,4.127,8.255,4.127,9.552
Positive_938,1,2.57,4.497,7.066,4.925,5.353,5.353,4.925,8.565,4.069,4.711,5.567,2.784,5.353,11.135
Negative_326,0,7.143,12.987,7.792,3.247,4.545,7.143,1.948,4.545,2.597,1.299,5.844,1.948,4.545,6.494
Negative_886,0,3.426,7.495,4.283,4.283,3.426,3.426,2.998,8.565,5.139,6.852,6.21,4.925,4.711,8.994
Negative_143,0,2.265,5.559,4.571,4.653,4.982,1.812,2.677,10.068,3.912,5.868,6.424,5.044,3.768,12.806
Negative_1147,0,17.241,15.517,0.862,9.483,1.724,0.0,0.0,7.759,6.897,4.31,0.862,17.241,1.724,1.724
Negative_156,0,2.367,5.325,5.325,3.55,0.592,2.367,3.55,8.284,3.55,2.959,5.917,1.775,4.734,16.568
Negative_70,0,1.882,4.839,2.688,3.226,4.839,4.032,1.882,6.452,1.882,7.258,6.452,6.452,8.065,8.871
Positive_936,1,2.151,4.731,7.312,5.376,6.022,4.731,6.237,6.882,4.731,3.656,6.452,2.151,5.161,10.108
Positive_813,1,2.574,5.743,7.921,5.743,4.554,4.554,4.554,7.921,4.356,5.545,7.327,2.376,3.564,12.277
Negative_1039,0,3.437,5.432,4.435,6.208,5.322,3.326,4.102,10.754,4.989,5.322,5.432,4.878,6.208,7.317
Positive_505,1,2.614,3.268,6.536,7.19,1.961,2.614,3.922,7.19,6.536,7.843,3.268,4.575,3.268,17.647
Negative_416,0,3.797,7.314,3.094,7.595,4.641,2.532,2.954,11.674,3.376,7.314,6.892,4.501,5.345,6.892
Negative_1026,0,14.286,8.658,3.896,8.225,4.762,0.0,1.299,4.762,2.165,7.359,5.195,2.597,4.762,9.091
Negative_1000,0,4.857,8.571,2.286,3.143,4.0,1.143,4.0,9.143,1.714,4.857,5.143,5.429,7.143,14.0
Negative_1166,0,6.087,9.565,4.348,5.217,2.609,0.87,4.348,4.348,5.217,10.435,5.217,4.348,2.609,13.043
Negative_880,0,3.171,4.228,6.977,4.228,3.805,4.228,6.131,11.839,3.383,2.96,7.611,1.903,2.748,11.839
Positive_963,1,2.791,5.116,4.651,3.721,2.791,4.186,5.116,6.977,4.651,12.093,10.698,2.791,5.116,9.302
Negative_371,0,1.579,13.158,1.579,3.158,4.211,1.579,2.632,8.421,1.053,8.947,3.158,6.316,8.421,4.737
Negative_996,0,1.069,11.603,3.969,1.985,5.344,1.374,3.206,8.244,4.122,4.885,4.427,8.244,4.733,11.45
Positive_896,1,0.0,3.911,2.793,7.821,2.793,2.235,2.793,8.38,3.911,7.821,8.939,2.793,10.615,8.939
Negative_569,0,12.308,1.538,0.0,0.0,0.0,24.615,1.538,4.615,1.538,0.0,1.538,0.0,6.154,4.615
Positive_696,1,2.26,6.215,3.107,3.955,6.78,2.542,4.802,5.085,1.412,4.802,9.605,1.695,5.932,9.605
Negative_595,0,1.426,9.984,1.426,2.853,3.645,3.962,2.694,11.094,2.06,6.022,5.071,5.547,5.864,10.777
Positive_858,1,0.0,2.433,7.178,6.569,7.299,2.433,2.798,4.258,4.38,7.908,8.273,3.285,7.178,8.881
Negative_1087,0,4.386,9.064,1.462,4.678,4.386,1.754,3.216,9.064,1.754,6.433,6.725,5.848,5.263,12.865
Negative_1110,0,8.8,14.4,1.6,2.4,0.8,0.0,0.0,16.0,0.0,4.0,6.4,4.8,4.0,3.2
Negative_27,0,2.899,11.594,1.449,4.348,1.449,5.797,2.899,4.348,2.899,1.449,4.348,4.348,8.696,15.942
Negative_1054,0,1.966,10.955,1.404,7.022,2.528,1.124,0.562,7.022,1.685,8.989,3.371,4.775,8.989,10.393
Positive_893,1,0.0,5.147,4.412,11.765,2.206,1.471,4.412,1.471,1.471,5.147,8.088,3.676,10.294,7.353
Negative_1072,0,4.73,9.459,3.041,4.054,4.392,2.027,4.054,12.162,2.703,7.095,6.757,3.378,3.378,8.108
Negative_231,0,1.794,6.726,7.175,1.794,4.036,2.691,8.52,7.175,0.448,3.139,5.381,4.484,4.036,11.211
Negative_742,0,2.083,6.076,2.778,9.201,4.514,1.562,2.257,12.674,5.035,7.812,6.076,3.125,6.076,8.507
Negative_598,0,6.09,2.885,1.603,2.244,0.321,2.564,2.885,23.077,0.0,0.0,3.526,4.487,0.0,0.0
Positive_188,1,1.783,4.635,4.813,6.952,5.526,4.991,5.704,5.348,3.565,7.308,6.595,2.852,4.813,10.517
Positive_279,1,2.314,7.243,5.03,3.421,4.93,3.119,4.628,8.954,2.918,4.527,6.137,4.829,5.332,11.569
Positive_28,1,3.304,8.59,3.965,6.608,4.846,2.423,4.405,7.93,2.863,7.489,3.524,3.744,5.947,10.132
Positive_452,1,1.561,4.683,6.428,6.336,6.061,4.316,2.938,8.54,4.04,8.632,8.173,2.296,4.04,9.55
Positive_549,1,0.759,7.021,4.554,5.693,6.831,3.985,6.072,4.744,6.262,4.744,7.021,4.934,5.503,5.693
Positive_316,1,2.128,4.407,5.623,3.495,2.736,3.951,6.535,8.359,2.584,4.103,8.055,2.584,3.343,12.918
Negative_279,0,2.19,3.65,5.109,3.65,5.109,3.65,6.569,5.109,2.19,6.569,8.029,2.92,3.65,13.139
Positive_731,1,0.0,1.818,8.182,11.818,8.182,0.909,0.909,6.364,2.727,3.636,10.0,1.818,9.091,7.273
Positive_1008,1,2.381,4.365,4.497,5.688,4.762,1.852,2.381,6.878,4.365,8.862,5.291,8.069,5.952,12.831
Positive_149,1,1.616,4.685,5.977,2.262,2.423,3.716,5.17,7.916,1.616,4.362,9.047,2.746,3.554,15.186
Positive_1211,1,1.744,3.488,6.977,3.779,5.814,3.198,4.36,7.558,2.326,5.523,5.233,2.907,5.523,10.756
Positive_1044,1,1.246,2.804,6.854,3.738,5.607,2.804,3.115,4.05,5.607,6.854,5.607,3.115,4.984,9.034
Negative_400,0,2.424,4.848,3.333,3.333,3.636,2.727,3.03,6.667,2.121,9.091,7.273,3.03,6.667,13.939
Negative_951,0,3.883,4.854,1.942,0.971,2.913,2.913,1.942,6.796,2.913,6.796,6.796,10.68,8.738,11.65
Positive_86,1,2.366,6.748,4.382,4.119,5.346,2.191,2.892,9.904,3.506,6.836,5.521,3.681,5.697,10.517
Positive_1128,1,0.0,2.488,3.98,8.955,5.97,0.995,2.985,5.97,1.99,5.97,10.448,4.975,6.965,9.453
Positive_1091,1,1.519,3.797,5.823,6.835,7.595,3.797,3.038,5.063,1.772,6.076,8.861,4.557,5.063,8.354
Negative_172,0,2.292,8.458,2.688,6.64,5.613,1.502,3.004,10.83,4.506,8.379,4.032,4.664,5.375,7.984
Positive_558,1,2.661,4.435,5.987,4.213,5.987,4.213,4.435,4.656,3.548,8.204,7.539,3.548,4.656,7.095
Negative_976,0,2.514,9.497,1.117,3.073,4.749,3.073,2.235,4.749,0.559,6.704,6.425,2.793,9.218,14.246
Positive_741,1,1.461,4.789,4.708,7.224,5.763,3.328,4.789,6.169,3.49,5.601,6.25,3.977,3.571,7.143
Positive_894,1,0.0,4.292,7.725,9.871,3.863,1.717,2.146,3.863,3.004,6.867,9.442,3.863,9.013,5.579
Positive_512,1,0.724,4.757,5.067,4.654,4.964,4.137,4.343,8.066,7.342,6.308,6.618,4.137,4.137,9.824
Negative_163,0,5.172,5.172,3.448,8.621,5.172,2.586,0.862,6.034,0.862,7.759,5.172,4.31,6.897,17.241
Positive_591,1,0.985,5.379,5.227,3.03,4.47,2.955,2.197,5.303,3.712,6.818,6.288,5.53,6.591,11.818
Positive_930,1,1.016,5.285,7.114,6.301,5.285,4.065,5.081,7.114,3.862,3.862,7.317,2.236,4.065,7.927
Positive_927,1,0.833,7.5,3.75,6.25,5.833,0.417,2.083,4.583,3.75,5.417,10.0,2.5,9.583,4.167
Positive_483,1,2.186,3.279,6.557,7.377,8.197,5.191,2.459,5.464,3.005,7.377,7.104,3.825,3.825,10.929
Negative_92,0,4.145,5.44,5.181,5.699,5.44,3.886,2.85,5.699,3.109,6.477,6.995,3.627,5.699,6.736
Negative_819,0,4.348,0.0,5.435,16.304,1.087,4.348,1.087,6.522,1.087,2.174,7.609,2.174,7.609,3.261
Positive_1135,1,0.649,8.701,3.896,3.117,5.065,2.078,2.468,5.714,3.377,4.416,6.104,3.896,8.312,12.468
Positive_1141,1,0.0,4.81,3.544,5.063,5.316,2.025,3.038,5.063,2.278,5.57,8.861,4.304,8.354,12.658
Negative_407,0,2.612,5.361,3.093,3.23,4.536,1.443,5.017,9.897,1.512,6.598,6.46,5.498,6.323,14.57
Positive_682,1,2.112,6.637,3.469,5.882,6.637,3.017,5.128,6.938,3.62,6.033,8.748,3.771,5.581,10.256
Negative_364,0,3.488,9.302,2.326,6.977,2.326,1.744,1.744,5.814,1.163,9.884,2.907,4.651,12.791,13.953
Negative_1148,0,4.582,6.469,4.043,7.008,4.043,2.695,1.617,9.164,4.582,6.469,3.774,6.739,4.313,11.59
Positive_260,1,1.935,4.946,7.097,8.172,4.731,3.441,4.301,4.731,4.301,7.742,6.452,2.366,3.441,11.183
Negative_94,0,2.935,8.043,2.5,4.348,4.022,3.587,3.043,8.804,2.174,5.978,4.348,7.717,4.457,9.457
Positive_807,1,0.0,2.881,8.23,12.551,6.996,5.144,1.852,6.173,7.819,6.79,4.733,4.527,1.646,8.436
Positive_564,1,0.531,6.897,6.101,5.836,3.714,3.979,2.918,5.305,4.244,3.979,5.836,6.631,2.918,9.019
Positive_264,1,2.532,4.051,5.57,5.57,7.848,3.291,3.038,5.063,2.025,5.316,10.127,4.304,5.57,7.848
Positive_112,1,4.525,6.335,7.692,6.561,3.167,3.167,4.751,7.466,4.072,3.846,6.335,2.715,4.525,12.896
Negative_242,0,9.231,1.538,3.077,6.154,1.538,1.538,3.077,9.231,7.692,10.769,6.154,4.615,6.154,6.154
Negative_219,0,1.111,9.259,2.222,1.481,3.704,1.481,4.074,9.63,7.037,2.593,3.333,5.926,2.593,5.185
Negative_870,0,3.604,6.306,3.604,12.613,1.802,5.405,0.901,7.207,1.802,6.306,5.405,1.802,9.91,12.613
Negative_859,0,0.0,0.0,12.903,0.0,0.0,6.452,6.452,3.226,6.452,3.226,9.677,3.226,6.452,19.355
Positive_1113,1,2.577,5.253,3.865,9.812,6.244,2.081,4.658,7.73,3.171,5.748,6.541,3.766,5.352,8.92
Negative_2,0,3.715,8.669,3.715,3.406,3.406,0.929,2.786,12.693,1.858,4.025,5.263,3.406,7.121,11.765
Positive_562,1,0.493,3.448,2.709,2.217,6.158,3.448,2.956,8.128,3.941,2.463,8.621,4.68,4.68,9.606
Negative_935,0,0.269,9.207,1.008,11.29,3.831,0.269,0.202,13.642,1.344,9.409,5.712,5.511,3.36,4.167
Negative_428,0,2.105,9.211,2.105,3.684,5.263,1.842,4.211,14.474,2.105,8.158,4.737,2.368,5.0,8.421
Negative_915,0,2.37,6.398,5.45,4.739,3.555,3.081,2.607,5.687,1.659,7.109,6.872,5.213,5.924,14.929
Negative_1128,0,32.258,3.226,1.613,12.903,1.613,0.0,0.0,14.516,1.613,3.226,3.226,1.613,0.0,0.0
Positive_772,1,1.152,3.647,7.294,6.718,5.95,2.303,2.879,5.182,4.223,7.102,7.869,3.263,4.031,9.021
Negative_627,0,3.427,8.1,2.181,2.804,4.361,1.869,4.984,6.231,2.804,4.05,4.673,4.984,8.1,15.888
Negative_1293,0,2.397,5.822,2.055,7.534,5.822,2.397,2.055,17.466,0.685,6.164,5.822,4.11,6.164,6.507
Positive_816,1,0.873,4.585,6.769,7.205,5.459,3.275,6.332,8.734,3.275,4.803,10.044,2.838,3.493,12.227
Negative_861,0,2.52,5.197,4.724,1.732,2.205,4.094,6.142,9.291,1.575,2.047,8.819,3.622,3.622,14.331
Positive_469,1,3.409,3.125,9.091,4.261,1.989,5.114,8.807,6.25,4.261,2.841,7.955,4.545,4.261,12.216
Positive_756,1,1.483,5.508,4.025,3.602,4.237,2.966,4.025,4.873,4.237,6.992,6.356,5.932,7.203,9.11
Negative_784,0,2.188,7.812,4.688,3.594,4.688,1.719,4.062,5.469,3.125,5.938,5.938,3.75,7.187,8.906
Positive_535,1,0.928,11.523,2.283,7.528,5.851,1.391,1.819,9.311,1.427,12.344,4.709,4.103,4.602,8.098
Positive_937,1,2.141,4.497,6.424,5.353,5.996,5.567,5.567,8.351,4.711,3.64,7.709,2.141,5.782,8.351
Positive_628,1,0.969,5.811,4.6,5.085,4.6,2.906,5.569,6.538,6.053,6.538,7.506,3.632,5.327,8.959
Negative_513,0,3.608,9.794,1.031,1.546,1.546,0.515,2.577,9.794,2.577,4.639,9.278,6.186,4.639,13.402
Negative_269,0,1.02,12.755,1.531,1.531,1.531,0.51,3.061,7.653,2.551,7.143,3.571,8.163,9.694,16.837
Positive_897,1,0.0,3.907,6.512,10.999,7.236,4.342,2.605,5.933,5.933,4.776,5.933,5.499,3.473,8.683
Negative_750,0,4.399,9.475,2.369,5.076,4.569,2.707,4.738,10.152,3.553,6.768,4.907,4.907,4.061,7.445
Positive_319,1,1.982,5.586,4.685,3.423,4.685,3.243,3.423,7.387,2.703,9.91,6.847,3.604,6.667,7.928
Positive_26,1,2.935,8.043,2.5,4.348,4.022,3.587,3.043,8.804,2.174,5.978,4.348,7.717,4.457,9.457
Negative_1138,0,1.271,4.237,5.508,6.356,2.966,1.695,2.966,10.593,8.475,5.932,6.356,3.814,3.814,8.898
Negative_296,0,4.566,5.023,5.479,4.566,4.566,3.653,6.393,10.046,6.849,3.196,3.196,1.826,4.566,12.329
Positive_842,1,1.05,6.933,3.571,6.092,6.933,4.412,7.563,7.563,3.151,6.513,5.252,2.731,4.202,9.034
Positive_460,1,2.03,5.584,6.091,6.091,5.753,3.384,3.892,6.937,2.876,7.614,8.799,4.23,5.584,9.137
Negative_1051,0,2.824,12.471,6.118,7.294,4.235,4.471,1.882,8.706,3.765,3.765,4.941,7.059,6.353,5.412
Positive_578,1,1.049,4.895,5.944,3.846,5.594,1.399,3.497,5.594,2.797,6.993,5.245,3.147,6.643,11.538
Negative_1318,0,6.63,9.392,1.657,2.21,2.762,0.0,1.657,8.287,1.657,2.762,7.182,3.867,9.392,5.525
Negative_450,0,6.667,4.731,3.226,6.667,4.946,3.226,3.441,10.108,6.237,4.946,5.376,3.656,4.731,10.968
Negative_35,0,2.755,9.366,4.683,6.887,5.785,1.928,3.857,7.163,4.683,5.234,3.857,5.785,5.51,10.193
Positive_633,1,1.799,7.969,5.141,6.427,3.085,2.828,2.314,6.17,2.828,5.398,7.969,5.913,6.941,10.797
Positive_1129,1,0.0,1.342,5.369,5.369,11.409,1.342,5.369,2.685,4.027,14.094,4.698,4.027,4.027,6.04
Negative_692,0,0.565,12.429,1.695,3.955,2.26,3.39,1.977,7.062,2.26,3.39,3.672,4.802,4.52,7.062
Positive_408,1,1.27,4.537,6.897,2.359,3.267,3.267,7.623,7.078,3.448,4.537,8.53,2.722,5.445,13.612
Positive_539,1,0.642,6.638,5.353,4.711,5.782,5.139,7.923,7.066,5.353,4.711,4.069,5.567,5.139,7.709
Positive_780,1,0.0,4.729,4.868,4.868,4.729,6.676,2.364,9.597,8.067,4.868,5.285,5.841,3.06,7.371
Positive_486,1,1.205,4.096,4.337,6.506,4.337,3.373,6.024,8.193,5.06,7.952,5.542,4.096,3.614,9.639
Negative_528,0,1.005,11.558,1.005,1.508,6.03,0.503,0.503,6.03,1.005,1.508,5.025,3.518,9.548,22.613
Positive_982,1,1.84,6.544,4.908,3.272,4.703,2.045,3.681,7.975,1.431,7.566,6.748,4.294,6.339,12.474
Negative_851,0,0.758,5.303,3.535,3.535,1.515,2.778,4.798,7.576,2.525,1.515,9.848,4.545,3.535,15.657
Negative_1174,0,3.283,3.03,3.03,4.545,6.566,4.04,3.03,10.606,4.798,5.303,8.333,3.283,5.303,8.838
Negative_1081,0,2.994,9.581,1.198,2.994,2.395,3.593,5.988,9.581,1.796,1.198,3.593,2.395,6.587,13.174
Negative_785,0,1.567,17.308,2.635,11.752,2.635,1.709,1.567,6.41,2.635,7.407,2.92,2.066,2.991,3.419
Positive_1158,1,0.4,5.6,2.6,3.8,6.0,3.4,4.6,6.0,2.2,6.0,5.8,3.0,7.8,16.6
Negative_473,0,2.211,6.633,3.741,2.381,3.571,2.211,3.912,9.354,1.871,5.272,6.463,2.891,7.823,11.905
Positive_259,1,1.077,5.922,2.288,1.615,3.634,4.038,4.576,6.46,3.096,5.384,6.999,4.711,6.595,11.709
Negative_346,0,6.0,2.0,2.0,2.0,6.0,4.0,4.0,8.0,2.0,6.0,4.0,6.0,7.0,10.0
Negative_942,0,2.086,10.648,2.525,4.501,4.501,2.525,3.293,9.111,2.525,6.257,4.83,4.61,6.037,11.306
Positive_913,1,1.603,5.411,8.216,3.206,4.609,3.808,7.415,7.214,3.808,8.617,6.413,3.808,5.411,8.216
Positive_424,1,2.056,5.981,7.664,3.925,2.243,3.738,5.981,5.607,3.551,5.047,9.72,2.991,2.43,11.776
Negative_1296,0,13.913,6.957,3.478,0.87,5.217,2.609,3.478,3.478,3.478,0.87,6.957,6.087,6.957,5.217
Negative_656,0,0.692,8.456,4.574,1.083,1.565,1.264,3.009,20.163,2.016,3.581,4.394,1.535,1.655,5.327
Positive_949,1,2.516,4.717,4.088,3.459,1.258,4.403,8.805,6.289,3.774,2.201,7.862,3.459,4.088,15.723
Negative_1127,0,1.026,10.256,6.154,4.615,0.513,3.59,3.077,3.59,2.051,6.154,7.692,4.103,5.641,8.205
Negative_872,0,0.645,8.71,1.613,2.903,5.161,1.29,1.935,7.419,1.613,8.71,4.194,6.452,3.548,9.032
Negative_1291,0,2.542,7.768,3.249,3.672,4.661,2.26,2.966,9.605,2.966,7.203,5.085,5.226,4.237,12.429
Positive_945,1,2.488,3.98,3.483,6.468,4.975,5.473,5.473,5.473,4.975,10.448,4.478,4.975,4.975,10.945
Positive_168,1,1.075,4.659,6.81,5.914,5.376,3.763,4.122,6.631,3.763,6.631,5.914,2.151,6.272,7.168
Negative_985,0,3.315,4.42,5.249,4.972,4.696,2.762,3.591,7.735,4.972,10.497,4.972,2.486,5.801,10.773
Positive_42,1,1.479,4.991,5.545,2.403,3.142,1.664,4.067,6.47,3.327,4.991,9.797,1.848,4.251,15.157
Positive_606,1,3.188,4.57,5.101,4.995,6.908,3.188,3.719,6.27,3.719,6.695,6.164,5.739,4.463,12.115
Positive_775,1,0.0,4.682,7.358,4.682,6.02,2.676,1.672,5.017,2.007,8.027,7.692,2.007,6.02,10.033
Negative_245,0,6.852,4.604,4.176,7.066,4.818,2.891,4.176,8.887,5.353,7.923,4.604,4.925,5.032,7.281
Negative_273,0,0.442,9.72,2.651,3.24,5.449,2.062,1.767,8.689,2.209,8.395,6.48,6.186,9.72,6.627
Negative_779,0,1.727,8.445,2.495,5.374,4.223,1.727,4.607,5.374,2.495,6.91,7.486,3.455,6.91,10.173
Positive_1222,1,1.176,1.176,5.882,3.922,4.706,1.961,3.922,5.098,5.098,8.235,8.627,2.745,6.275,10.196
Negative_559,0,2.525,5.051,4.293,4.293,4.293,1.263,1.515,7.323,3.283,6.313,8.081,4.04,4.798,15.152
Positive_979,1,1.111,8.519,4.074,7.037,6.667,2.963,3.704,7.778,4.074,7.037,6.296,3.333,4.074,9.259
Positive_1114,1,3.138,4.812,5.23,9.205,8.159,3.138,2.301,4.603,3.556,8.787,5.858,2.51,5.23,6.067
Positive_899,1,0.0,3.399,5.807,11.331,7.082,4.816,2.55,6.516,4.533,6.374,6.941,4.391,3.683,8.924
Negative_832,0,7.2,5.6,4.8,4.0,7.2,5.6,3.2,3.2,4.8,9.6,4.8,5.6,5.6,4.8
Negative_1136,0,1.452,7.054,2.282,2.282,4.979,0.207,1.66,5.602,0.622,5.809,7.676,5.809,6.639,14.523
Negative_916,0,2.941,7.754,1.872,3.476,4.278,3.476,3.209,6.417,4.278,5.615,5.615,3.476,5.08,7.219
Negative_892,0,3.409,5.682,9.091,4.545,3.409,2.273,1.136,6.818,1.136,7.955,9.091,3.409,3.409,10.227
Positive_961,1,1.861,3.924,7.495,6.74,5.03,3.219,6.489,8.4,4.93,6.59,6.539,2.666,4.577,10.161
Positive_743,1,2.0,6.857,2.286,4.571,3.429,3.143,4.286,5.143,3.143,4.857,6.571,6.571,4.857,12.286
Positive_831,1,0.0,3.529,5.882,5.735,4.559,5.0,3.088,10.294,6.618,5.882,6.765,4.559,2.353,8.971
Positive_494,1,1.759,5.277,4.871,7.037,5.683,2.842,5.142,5.819,3.383,7.713,7.172,4.06,5.954,9.608
Positive_1193,1,1.849,5.714,7.563,5.378,1.849,3.025,6.555,7.059,3.697,4.706,7.227,1.681,1.849,12.605
Positive_1171,1,0.382,6.87,5.344,6.107,6.107,3.053,4.198,11.069,3.435,5.344,6.107,4.198,4.198,9.924
Positive_639,1,1.764,4.885,5.97,7.056,6.649,4.613,5.699,4.206,6.377,6.106,7.87,2.985,4.478,8.141
Positive_104,1,2.466,4.559,6.428,7.549,5.007,3.737,3.662,9.567,4.335,6.278,5.531,2.915,5.082,9.193
Positive_995,1,1.425,8.262,2.279,9.117,8.547,1.994,2.849,9.402,2.279,8.832,4.558,3.419,3.134,11.396
Negative_689,0,1.667,6.667,16.667,1.667,3.333,1.667,0.0,5.0,0.0,1.667,15.0,1.667,3.333,13.333
Negative_300,0,6.349,8.73,2.381,1.587,1.587,0.794,4.762,11.111,1.587,4.762,3.968,2.381,4.762,9.524
Negative_1172,0,4.087,5.769,2.644,5.048,4.087,1.683,4.567,8.654,3.125,8.413,5.048,6.01,5.529,12.019
Positive_620,1,1.639,3.726,3.875,9.389,5.365,2.385,2.534,9.687,2.832,8.495,5.812,4.322,6.855,9.687
Positive_833,1,1.893,7.571,3.47,6.309,5.678,2.839,5.047,7.256,3.785,5.678,7.256,3.47,5.363,10.41
Positive_507,1,1.859,5.576,3.346,7.435,7.435,2.974,7.435,7.807,4.461,7.807,6.32,6.691,2.23,8.922
Positive_901,1,1.456,4.612,8.617,7.282,6.311,2.427,4.369,8.131,5.34,6.675,7.524,3.762,4.248,9.223
Positive_765,1,2.857,2.857,6.735,5.918,6.531,4.082,4.286,4.082,4.694,6.122,5.51,4.49,5.102,6.531
Positive_834,1,1.724,6.207,6.552,3.793,5.172,3.103,4.828,5.517,3.793,11.034,7.241,3.793,5.172,9.655
Negative_350,0,2.222,7.901,2.716,2.963,3.704,2.222,3.21,5.679,1.975,3.704,5.432,3.951,7.407,16.79
Negative_265,0,5.714,6.667,6.667,3.81,4.286,1.429,0.476,10.952,6.19,5.238,7.143,2.857,2.381,5.714
Negative_1307,0,1.673,4.833,7.063,2.23,2.416,3.717,5.948,7.435,1.673,2.788,9.851,2.788,4.275,16.357
Positive_70,1,3.631,4.19,5.028,0.838,3.073,3.352,4.749,10.615,2.235,3.073,6.145,3.352,8.939,14.525
Negative_636,0,0.0,18.182,9.091,9.091,0.0,0.0,9.091,9.091,0.0,0.0,9.091,9.091,0.0,9.091
Positive_991,1,3.035,5.734,6.071,6.071,5.902,2.867,4.047,6.577,4.047,9.106,5.565,3.71,7.251,8.6
Positive_877,1,1.495,6.25,6.114,4.484,3.94,2.174,3.261,9.918,3.261,3.668,4.755,8.696,4.891,11.141
Negative_601,0,2.463,6.281,2.956,3.079,3.818,0.985,3.818,10.961,2.094,6.158,4.064,3.941,8.128,13.916
Positive_456,1,0.691,4.147,2.535,5.53,4.839,1.382,1.382,10.599,1.152,7.834,9.447,9.677,4.378,9.447
Positive_719,1,1.931,4.614,5.258,6.116,4.399,2.039,3.863,10.622,2.146,4.828,5.794,4.721,6.867,10.086
Negative_788,0,4.902,0.98,0.98,1.961,0.0,3.922,0.0,7.843,0.0,7.843,4.902,7.843,31.373,3.922
Positive_1012,1,2.124,5.008,5.665,3.794,4.451,2.428,6.019,6.525,3.743,7.031,6.879,3.49,5.918,11.33
Positive_652,1,3.059,4.706,6.353,8.235,4.706,1.647,3.765,7.059,3.765,7.294,6.824,4.471,3.765,9.412
Negative_121,0,1.471,16.176,4.412,10.294,0.0,2.941,1.471,5.882,7.353,1.471,1.471,4.412,0.0,14.706
Positive_771,1,0.837,3.347,6.276,7.531,4.603,1.464,2.929,4.184,2.72,6.695,11.088,2.72,3.138,8.159
Negative_384,0,2.719,6.042,3.625,3.323,3.323,3.625,3.323,3.323,3.625,7.855,7.855,3.625,6.344,8.761
Negative_764,0,1.408,9.027,3.354,1.159,4.472,2.029,2.816,12.298,1.242,11.097,7.702,2.526,3.271,7.412
Positive_621,1,2.384,5.742,6.501,6.176,5.742,4.117,4.225,7.909,4.875,6.934,5.742,3.034,4.009,6.717
Negative_4,0,3.509,5.263,5.263,3.509,5.263,1.754,0.0,10.526,1.754,5.263,7.018,3.509,8.772,15.789
Negative_409,0,2.572,5.788,1.608,3.215,4.823,1.447,2.09,8.039,1.447,7.074,3.859,7.074,6.27,19.453
Negative_399,0,3.891,4.28,5.837,1.946,3.502,3.891,7.004,6.226,2.335,1.167,7.393,4.28,7.782,14.786
Positive_567,1,0.439,6.579,5.482,4.386,7.675,1.754,3.07,4.605,2.851,6.36,9.868,2.851,7.456,8.333
Positive_354,1,2.879,6.667,3.788,6.818,8.182,4.545,7.121,4.394,3.636,5.0,3.939,2.879,3.939,7.121
Negative_378,0,7.229,7.229,3.614,9.639,6.024,2.41,3.614,6.024,3.614,7.229,6.024,3.614,6.024,3.614
Positive_380,1,1.424,5.33,6.265,4.923,5.085,3.133,4.15,6.713,3.702,7.201,7.12,4.312,5.899,9.642
Negative_900,0,15.278,38.889,0.0,11.111,0.0,4.167,0.0,4.167,0.0,2.778,2.778,16.667,0.0,0.0
Negative_1230,0,3.114,5.749,3.832,8.743,4.91,1.916,3.114,11.976,4.192,7.425,5.629,3.832,4.91,8.623
Positive_988,1,1.399,3.846,5.478,8.159,5.594,3.497,5.128,4.779,4.429,9.441,7.459,4.196,4.079,9.207
Negative_885,0,1.754,8.521,3.008,2.757,5.263,1.754,5.514,7.018,1.504,5.013,9.273,3.008,9.023,11.028
Positive_602,1,0.496,3.226,6.203,6.452,6.203,2.73,5.211,6.203,5.707,3.97,6.452,4.218,4.218,9.181
Negative_252,0,4.341,11.527,2.545,1.946,3.892,1.497,2.844,13.623,0.749,4.042,5.988,2.246,8.234,12.425
Positive_1035,1,1.657,6.077,5.157,6.814,4.42,4.604,3.867,6.446,3.499,7.735,5.709,3.499,4.788,7.919
Negative_895,0,3.269,6.538,1.731,7.115,5.962,4.615,3.077,13.462,1.538,5.385,5.0,3.077,7.115,10.769
Negative_1212,0,6.897,6.897,2.299,0.0,0.0,12.644,8.046,11.494,8.046,0.0,2.299,0.0,3.448,5.747
Positive_836,1,1.187,5.935,4.451,3.561,3.561,4.451,3.264,8.012,3.264,6.528,5.341,6.825,3.858,13.056
Positive_307,1,1.603,6.41,2.885,7.051,3.526,2.885,3.205,7.372,3.205,7.372,6.09,5.449,4.167,12.179
Positive_1046,1,4.338,4.338,4.772,8.243,6.074,2.386,4.121,6.291,2.82,8.243,5.64,3.471,5.423,9.328
Negative_1096,0,2.481,5.953,3.756,4.181,5.386,2.055,2.977,11.41,2.693,5.741,7.016,5.457,4.252,10.064
Negative_871,0,3.15,8.268,3.543,3.543,3.15,3.15,1.181,11.024,3.15,3.543,5.118,5.118,5.906,13.78
Negative_1055,0,3.55,5.523,4.734,4.142,3.55,1.183,3.55,6.706,4.734,6.903,10.059,3.156,4.142,10.848
Positive_1130,1,3.275,5.24,4.803,7.424,6.332,3.93,2.183,9.389,3.057,6.987,5.677,3.712,4.367,11.354
